series_id,name,source,path,length,anomaly_ratio,anomaly_segments,mean_anomaly_duration,max_anomaly_duration,seasonality_proxy,noise_proxy
CreditCard/processed_phpKo8OWT_col_1__middlecrop_132403_152403,processed_phpKo8OWT_col_1__middlecrop_132403_152403,CreditCard,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/CreditCard/processed_phpKo8OWT_col_1.csv,20000,0.0034,50,1.36,5,0.037769988704269244,0.974596929868331
Daphnet/processed_S01R01_col_3__middlecrop_65993_85993,processed_S01R01_col_3__middlecrop_65993_85993,Daphnet,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/Daphnet/processed_S01R01_col_3.csv,20000,0.0462,4,231.0,619,0.6182112864657415,36.0
Dodgers/101-freeway-traffic__middlecrop_15200_35200,101-freeway-traffic__middlecrop_15200_35200,Dodgers,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/Dodgers/101-freeway-traffic.csv,20000,0.1156,64,36.125,293,0.8483421625683925,4.0
Exathlon/10_3_1000000_75.test_col_0__middlecrop_13328_33328,10_3_1000000_75.test_col_0__middlecrop_13328_33328,Exathlon,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/Exathlon/10_3_1000000_75.test_col_0.csv,20000,0.04855,1,971.0,971,0.972852613271811,2.0
GECCO/processed_1_gecco2018_water_quality_col_2__middlecrop_59260_79260,processed_1_gecco2018_water_quality_col_2__middlecrop_59260_79260,GECCO,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/GECCO/processed_1_gecco2018_water_quality_col_2.csv,20000,0.0514,30,34.266666666666666,253,0.7079517596593335,0.0
Genesis/processed_Genesis_AnomalyLabels_col_0,processed_Genesis_AnomalyLabels_col_0,Genesis,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/Genesis/processed_Genesis_AnomalyLabels_col_0.csv,16220,0.0030826140567200987,3,16.666666666666668,26,0.6291097780464602,10.0
IOPS/KPI-05f10d3a-239c-3bef-9bdc-a2feeb0037aa__middlecrop_63127_83127,KPI-05f10d3a-239c-3bef-9bdc-a2feeb0037aa__middlecrop_63127_83127,IOPS,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/IOPS/KPI-05f10d3a-239c-3bef-9bdc-a2feeb0037aa.csv,20000,0.00395,4,19.75,51,0.8166021969665623,0.9500000000000028
LTDB/14046_col_0__middlecrop_5404400_5424400,14046_col_0__middlecrop_5404400_5424400,LTDB,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/LTDB/14046_col_0.csv,20000,0.02475,4,123.75,127,0.49032953019152153,0.010000000000000009
MGAB/1__middlecrop_40000_60000,1__middlecrop_40000_60000,MGAB,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/MGAB/1.csv,20000,0.003,3,20.0,20,0.9534804919214309,0.03498848298839552
MSL/C-1_col_12,C-1_col_12,MSL,data/raw/TSB-UAD-Public-v2/TSB-UAD-Public-v2/MSL/C-1_col_12.csv,2264,0.13780918727915195,2,156.0,201,0.09327000509881678,0.0
